INSTITUCION;UNIDAD ADMINISTRATIVA;JEFE DE UNIDAD;NIVEL CUMPLIDO;PRODUCTO/SERVICIO;INDICADOR;META PROYACTADA;META CUMPLIDA;%CUMPLIMIENTO;
HOSPITAL PROVINCIAL GENERAL ISIDRO AYORA MSP;GESTION DE PLANIFICACION SEGUIMIENTO Y EVALUACION DE LA GESTION;GUERRERO JARAMILLO BYRON XAVIER;0.0;INFORMES SOBRE CUMPLIMIENTO Y APLICACION DE CONVENIOS Y COMPROMISOS DE LA GESTION HOSPITALARIA;NRO DE INFORMES REALIZADOS;1.0;0.0;0.0;
HOSPITAL PROVINCIAL GENERAL ISIDRO AYORA MSP;GESTION DE PLANIFICACION SEGUIMIENTO Y EVALUACION DE LA GESTION;GUERRERO JARAMILLO BYRON XAVIER;0.0;REPORTES Y SEGUIMIENTO DE LOS CONVENIOS QUE TENGA EL HOSPITAL CON OTRAS INSTITUCIONES DE SALUD, PÚBLICAS, PRIVADAS E INTERNACIONALES;NRO DE REPORTES REALIZADOS;6.0;0.0;0.0;
HOSPITAL PROVINCIAL GENERAL ISIDRO AYORA MSP;GESTION DE PLANIFICACION SEGUIMIENTO Y EVALUACION DE LA GESTION;GUERRERO JARAMILLO BYRON XAVIER;0.0;REFORMAS PRESUPUESTARIAS;NRO DE REFORMAS REALIZADAS;50.0;0.0;0.0;
HOSPITAL PROVINCIAL GENERAL ISIDRO AYORA MSP;GESTION DE PLANIFICACION SEGUIMIENTO Y EVALUACION DE LA GESTION;GUERRERO JARAMILLO BYRON XAVIER;0.0;SISTEMA DE MONITOREO Y SEGUIMIENTO DE LA PLANIFICACIÓN ANUAL DE INVERSIONES, ESTRATÉGICO, DE OBJETIVOS, METAS, INDICADORES Y CONVENIOS;NRO DE SISTEMAS DE MONITOREO REALIZADOS;6.0;0.0;0.0;
HOSPITAL PROVINCIAL GENERAL ISIDRO AYORA MSP;GESTION DE PLANIFICACION SEGUIMIENTO Y EVALUACION DE LA GESTION;GUERRERO JARAMILLO BYRON XAVIER;0.0;PLAN DE INVERSIÓN DE HOSPITAL EN COORDINACIÓN CON LA UNIDAD FINANCIERA PARA LA APROBACIÓN DEL GERENTE HOSPITALARIO/A Y EL COMITÉ RESPECTIVO (PAPP NACIONAL AVALES);NRO DE PLANES ELABORADOS;1.0;0.0;0.0;
HOSPITAL PROVINCIAL GENERAL ISIDRO AYORA MSP;GESTION DE PLANIFICACION SEGUIMIENTO Y EVALUACION DE LA GESTION;GUERRERO JARAMILLO BYRON XAVIER;0.0;PLAN ESTRATÉGICO DEL HOSPITAL, ENFOCADO A LOS OBJETIVOS INSTITUCIONALES PARA LA APROBACIÓN DEL GERENTE HOSPITALARIO/A Y EL COMITÉ RESPECTIVO;NRO DE PLANES ELABORADOS;1.0;0.0;0.0;
HOSPITAL PROVINCIAL GENERAL ISIDRO AYORA MSP;GESTION DE PLANIFICACION SEGUIMIENTO Y EVALUACION DE LA GESTION;GUERRERO JARAMILLO BYRON XAVIER;0.0;PLAN OPERATIVO ANUAL DEL HOSPITAL, EN FUNCIONN DE LOS INSUMOS PRESENTADOS POR CADA UNA DE LAS UNIDADES Y PARA LA APROBACION DEL GERENTE HOSPITALARIO/A Y EL COMIT� RESPECTIVO;NRO DE PLANES ELABORADOS;2.0;0.0;0.0;
HOSPITAL PROVINCIAL GENERAL ISIDRO AYORA MSP;GESTION DE PLANIFICACION SEGUIMIENTO Y EVALUACION DE LA GESTION;GUERRERO JARAMILLO BYRON XAVIER;0.0;SISTEMA DE CONTROL Y EVALUACIÓN DE LA GESTIÓN CLÍNICO FINANCIERA E IMPLANTACIÓN DEL CUADRO DE MANDOS GPR;NRO DE SISTEMAS DE CONTROL REALIZADOS;6.0;0.0;0.0;
HOSPITAL PROVINCIAL GENERAL ISIDRO AYORA MSP;GESTION DE PLANIFICACION SEGUIMIENTO Y EVALUACION DE LA GESTION;GUERRERO JARAMILLO BYRON XAVIER;0.0;SISTEMA DE INFORMACIÓN QUE FACILITE LA TOMA DE DECISIONES, EN COORDINACIÓN CON LA UNIDAD DE CALIDAD Y LAS DISTINTAS ÁREAS DEL HOSPITAL;NRO. DE SISTEMAS DE INFORMACION REALIZADOS;100.0;0.0;0.0;
HOSPITAL PROVINCIAL GENERAL ISIDRO AYORA MSP;UNIDAD DE ASESORIA  JURIDICA;GUERRERO JARAMILLO BYRON XAVIER;0.0;ATENCION SUSTANCIADA A LOS RECLAMOS Y RECURSOS ADMINISTRATIVOS PRESENTADOS QUE SON DE SU COMPETENCIA;NRO. DE ATENCIONES REALIZADAS;30.0;0.0;0.0;
HOSPITAL PROVINCIAL GENERAL ISIDRO AYORA MSP;UNIDAD DE ASESORIA  JURIDICA;GUERRERO JARAMILLO BYRON XAVIER;0.0;ARCHIVO DE LAS LEYES, CONTRATOS, CONVENIOS, JUICIOS, EXPEDIENTES DE COACTIVAS, REGLAMENTOS, DECRETOS, RESOLUCIONES, ACUERDOS U OTROS INSTRUMENTOS JURI�DICOS;NRO. DE ARCHIVOS REALIZADOS;30.0;0.0;0.0;
HOSPITAL PROVINCIAL GENERAL ISIDRO AYORA MSP;UNIDAD DE ASESORIA  JURIDICA;GUERRERO JARAMILLO BYRON XAVIER;0.0;DEFENSA JURÍDICA DEL HOSPITAL CON EL DELEGADO DE LA PROCURADURÍA GENERAL DEL ESTADO, EN LOS PROCESOS CONTENCIOSOS ADMINISTRATIVOS, RECURSOS, ACCIONES DE PROTECCIÓN, LABORAL, CIVIL, ESPECIAL, PENAL, CON LA FINALIDAD DE PROTEGER LOS INTERESES DEL HOSPITAL;NRO. DE DEFENSAS REALIZADAS;10.0;0.0;0.0;
HOSPITAL PROVINCIAL GENERAL ISIDRO AYORA MSP;UNIDAD DE ASESORIA  JURIDICA;GUERRERO JARAMILLO BYRON XAVIER;0.0;CONTRATOS Y CONVENIOS DE LA INSTITUCIÓN, DISPUESTOS Y AUTORIZADOS POR LA GERENCIA HOSPITALARIA Y EN COORDINACIÓN CON OTRAS UNIDADES DEL HOSPITAL, CUMPLIENDO CON LO QUE ESTABLECE LA LEY Y DEMÁS ACTOS LEGALES;NRO. DE CONTRATOS REALIZADOS;80.0;0.0;0.0;
HOSPITAL PROVINCIAL GENERAL ISIDRO AYORA MSP;UNIDAD DE ASESORIA  JURIDICA;GUERRERO JARAMILLO BYRON XAVIER;0.0;INFORMES LEGALES PARA LAS AUTORIDADES SUPERIORES;NRO. DE INFORMES REALIZADOS;30.0;0.0;0.0;
HOSPITAL PROVINCIAL GENERAL ISIDRO AYORA MSP;UNIDAD DE ASESORIA  JURIDICA;GUERRERO JARAMILLO BYRON XAVIER;0.0;DICTÁMENES Y CRITERIOS DE CONFORMIDAD CON LA LEY;NRO. DE DICTAMENES REALIZADOS;50.0;0.0;0.0;
HOSPITAL PROVINCIAL GENERAL ISIDRO AYORA MSP;UNIDAD DE ASESORIA  JURIDICA;GUERRERO JARAMILLO BYRON XAVIER;0.0;ACCION SOBRE DEMANDAS Y JUICIOS A LA INSTITUCION HASTA LA CULMINACION EN SENTENCIA;NRO. DE ACCIONES REALIZADAS;5.0;0.0;0.0;
HOSPITAL PROVINCIAL GENERAL ISIDRO AYORA MSP;UNIDAD DE ASESORIA  JURIDICA;GUERRERO JARAMILLO BYRON XAVIER;0.0;ASESORIA JURI�DICA EN LAS DIFERENTES ACTIVIDADES DEL HOSPITAL;NRO. DE ASESORIAS REALIZADAS;50.0;0.0;0.0;
HOSPITAL PROVINCIAL GENERAL ISIDRO AYORA MSP;UNIDAD DE COMUNICACION;GUAICHA GUAICHA FRANCO DAVID;0.0;ELABORACION DE DISENOS Y VIDEOS PROMOSIONALES DE LA INSTITUCION;NRO. DE DISENOS ELABORADOS;30.0;0.0;0.0;
HOSPITAL PROVINCIAL GENERAL ISIDRO AYORA MSP;UNIDAD DE COMUNICACION;GUAICHA GUAICHA FRANCO DAVID;0.0;PUBLICACION DE NOTAS PERIODISTICAS EN MEDIOS DE COMUNICACION TRADICIONAL Y DIGITAL;NRO. DE NOTAS REALIZADAS;100.0;0.0;0.0;
HOSPITAL PROVINCIAL GENERAL ISIDRO AYORA MSP;UNIDAD DE COMUNICACION;GUAICHA GUAICHA FRANCO DAVID;0.0;ACTIVIDADES DENTRO Y FUERA DEL HOSPITAL COMO FERIAS, CASAS ABIERTAS PARA QUE PARTICIPEN DE ESTAS ACTIVIDADES;NRO. DE ACTIVIDADES REALIZADAS;10.0;0.0;0.0;
HOSPITAL PROVINCIAL GENERAL ISIDRO AYORA MSP;UNIDAD DE COMUNICACION;GUAICHA GUAICHA FRANCO DAVID;0.0;EVENTOS QUE SE LLEVEN A CABO EN EL HOSPITAL;NRO. DE EVENTOS REALIZADOS;6.0;0.0;0.0;
HOSPITAL PROVINCIAL GENERAL ISIDRO AYORA MSP;UNIDAD DE COMUNICACION;GUAICHA GUAICHA FRANCO DAVID;0.0;BOLETINES DE PRENSA;NRO. DE BOLETINES REALIZADOS;40.0;0.0;0.0;
HOSPITAL PROVINCIAL GENERAL ISIDRO AYORA MSP;UNIDAD DE COMUNICACION;GUAICHA GUAICHA FRANCO DAVID;0.0;ESTRATEGIAS PARA PROMOVER LA IMAGEN INSTITUCIONAL PARA LOS USUARIOS INTERNOS Y EXTERNOS;NRO. DE ESTRATEGIAS REALIZADAS;100.0;0.0;0.0;
